stamp_abs,stamp_rel,size_valid,width,height,width_pair_count,height_pair_count,axis_reliable,geom_updated,geom_fail_code,pipe_s,s_odom,d_exit_scan,scan_valid,length_est,length_valid,robot_pose_valid,robot_x,robot_y,robot_z,robot_qx,robot_qy,robot_qz,robot_qw,robot_roll,robot_pitch,robot_yaw,robot_vx,robot_vy,robot_vz
1778503974.272900105,0.299754143,1,0.304465902,0.143075377,9,5,1,1,0,-0.000446608,-0.000446608,0.000000000,0,0.113650313,1,1,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,1.000000000,0.000000000,-0.000000000,0.000000000,0.043083618,0.026363039,0.000766421
1778503974.373124361,0.399978399,1,0.327069934,0.130609784,17,15,1,1,0,0.001852438,0.001852438,0.000000000,0,0.113650313,1,1,0.002517802,-0.005424827,-0.010341059,0.000036899,-0.000932760,0.000634295,0.999999363,0.000074982,-0.001865473,0.001268661,0.033996700,-0.043493732,-0.097467754
1778503974.472984314,0.499838352,1,0.327600045,0.110787266,16,17,1,1,0,0.002868418,0.002868418,0.000000000,0,0.113650313,1,1,0.002900485,-0.008903600,-0.008297938,0.002557389,0.002321694,0.006513291,0.999972823,0.005084472,0.004676593,0.013014863,0.039792222,-0.039025104,-0.026328734
1778503974.574829340,0.601683378,0,0.000000000,0.000000000,19,19,1,1,0,0.003697003,0.003697003,0.000000000,0,0.113650313,1,1,0.003873935,-0.008659660,-0.011699752,-0.005721552,0.004415132,0.001036450,0.999973348,3.130140007,3.132774371,-3.139469202,0.052059552,0.010540305,-0.031147546
1778503974.673166513,0.700020552,0,0.000000000,0.000000000,37,17,1,1,0,0.004909643,0.004909643,0.000000000,0,0.113650313,1,1,0.005588771,-0.003114465,-0.011738900,-0.007449355,0.000249246,-0.000247640,0.999972191,3.126693928,3.141090486,3.141101101,0.050429857,0.058372449,-0.018760474
1778503974.773099661,0.799953699,0,0.000000000,0.000000000,17,9,1,1,0,0.006399119,0.006399119,0.000000000,0,0.113650313,1,1,0.007280423,0.000383039,-0.006405558,-0.006412824,-0.001661043,-0.002428137,0.999975110,3.128758836,-3.138301787,3.136715151,0.051390168,0.070119016,0.001299999
1778503974.872996807,0.899850845,0,0.000000000,0.000000000,25,1,1,1,0,0.008503856,0.008503856,0.000000000,0,0.113650313,1,1,0.009912369,0.004384010,-0.009302721,-0.000083849,-0.006415597,-0.002575395,0.999976100,3.141391897,-3.128761845,3.136440463,0.042567110,0.056349366,-0.007531792
1778503974.973099947,0.999953985,0,0.000000000,0.000000000,16,12,1,1,0,0.009637052,0.009637052,0.000000000,0,0.113650313,1,1,0.011019258,0.006389168,-0.008457167,0.003282850,-0.005311773,-0.004646187,0.999969710,0.006516559,-0.010653931,-0.009257875,0.039717111,0.043305856,-0.003074059
1778503975.073145390,1.099999428,0,0.000000000,0.000000000,15,26,1,1,0,0.007011302,0.007011302,0.000000000,0,0.113650313,1,1,0.008687960,0.005897396,-0.010407537,0.007992654,-0.008874066,-0.002619758,0.999925250,0.015940815,-0.017789621,-0.005098098,0.016269659,0.018018912,-0.008810967
1778503975.172128439,1.198982477,1,0.248884959,0.205698129,18,16,1,1,0,0.008030369,0.008030369,0.000000000,0,0.113650313,1,1,0.010079069,0.007077395,-0.011158903,0.009590927,-0.010118269,-0.006078853,0.999884334,0.019061723,-0.020352206,-0.011964976,0.014369707,0.010666588,-0.008694078
1778503975.273479462,1.300333500,1,0.239833778,0.219164729,18,7,1,1,0,0.005514203,0.005514203,0.000000000,0,0.113650313,1,1,0.007718181,0.004645131,-0.010164899,0.012307609,-0.013351398,-0.006010384,0.999817052,0.024461476,-0.026849084,-0.011694403,-0.007683426,-0.013537371,-0.004621848
1778503975.373125792,1.399979830,0,0.000000000,0.000000000,17,0,1,1,0,0.006254933,0.006254933,0.000000000,0,0.113650313,1,1,0.008371905,0.002774426,-0.008419046,0.012157096,-0.012240973,-0.004025316,0.999843068,0.024221512,-0.024578451,-0.007754159,-0.005644147,-0.023955649,0.002727060
1778503975.473246813,1.500100851,0,0.000000000,0.000000000,17,20,1,1,0,0.004553530,0.004553530,0.000000000,0,0.113650313,1,1,0.006400379,0.001065683,-0.004203883,0.011962724,-0.013108887,-0.002753037,0.999838723,0.023859914,-0.026282438,-0.005193366,-0.016455516,-0.028665145,0.014283356
