stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778503974.351415873,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,1.000000000,0.000000000,-0.000000000,0.000000000,0.043083618,0.026363039,0.000766421
1778503974.457512140,0.106096268,0.002517802,-0.005424827,-0.010341059,0.000036899,-0.000932760,0.000634295,0.999999363,0.000074982,-0.001865473,0.001268661,0.033996700,-0.043493732,-0.097467754
1778503974.553713799,0.202297926,0.002900485,-0.008903600,-0.008297938,0.002557389,0.002321694,0.006513291,0.999972823,0.005084472,0.004676593,0.013014863,0.039792222,-0.039025104,-0.026328734
1778503974.633067369,0.281651497,0.003873935,-0.008659660,-0.011699752,-0.005721552,0.004415132,0.001036450,0.999973348,3.130140007,3.132774371,-3.139469202,0.052059552,0.010540305,-0.031147546
1778503974.761337042,0.409921169,0.005588771,-0.003114465,-0.011738900,-0.007449355,0.000249246,-0.000247640,0.999972191,3.126693928,3.141090486,3.141101101,0.050429857,0.058372449,-0.018760474
1778503974.833212614,0.481796741,0.007280423,0.000383039,-0.006405558,-0.006412824,-0.001661043,-0.002428137,0.999975110,3.128758836,-3.138301787,3.136715151,0.051390168,0.070119016,0.001299999
1778503974.959458113,0.608042240,0.009912369,0.004384010,-0.009302721,-0.000083849,-0.006415597,-0.002575395,0.999976100,3.141391897,-3.128761845,3.136440463,0.042567110,0.056349366,-0.007531792
1778503975.068498611,0.717082739,0.011019258,0.006389168,-0.008457167,0.003282850,-0.005311773,-0.004646187,0.999969710,0.006516559,-0.010653931,-0.009257875,0.039717111,0.043305856,-0.003074059
1778503975.170468807,0.819052935,0.008687960,0.005897396,-0.010407537,0.007992654,-0.008874066,-0.002619758,0.999925250,0.015940815,-0.017789621,-0.005098098,0.016269659,0.018018912,-0.008810967
1778503975.269681215,0.918265343,0.010079069,0.007077395,-0.011158903,0.009590927,-0.010118269,-0.006078853,0.999884334,0.019061723,-0.020352206,-0.011964976,0.014369707,0.010666588,-0.008694078
1778503975.371138334,1.019722462,0.007718181,0.004645131,-0.010164899,0.012307609,-0.013351398,-0.006010384,0.999817052,0.024461476,-0.026849084,-0.011694403,-0.007683426,-0.013537371,-0.004621848
1778503975.467317343,1.115901470,0.008371905,0.002774426,-0.008419046,0.012157096,-0.012240973,-0.004025316,0.999843068,0.024221512,-0.024578451,-0.007754159,-0.005644147,-0.023955649,0.002727060
1778503975.571596861,1.220180988,0.006400379,0.001065683,-0.004203883,0.011962724,-0.013108887,-0.002753037,0.999838723,0.023859914,-0.026282438,-0.005193366,-0.016455516,-0.028665145,0.014283356
1778503975.663225889,1.311810017,0.007150879,0.000178978,-0.006832232,0.009447593,-0.010617241,-0.001029726,0.999898473,0.018876786,-0.021253383,-0.001859049,-0.006151558,-0.023561853,0.004734404
1778503975.771397591,1.419981718,0.004198188,0.000847476,-0.006978061,0.006882937,-0.010561904,-0.001944909,0.999918641,0.013727171,-0.021150439,-0.003744953,-0.014660528,-0.009059019,0.003552979
1778503975.865488052,1.514072180,0.002273178,0.001005379,-0.006020158,0.006730219,-0.011553094,-0.002451506,0.999907606,0.013406540,-0.023139116,-0.004748338,-0.020100603,-0.004807591,0.005922893
1778503975.969702244,1.618286371,0.003425405,0.002740771,-0.007075607,0.005142060,-0.009491038,-0.003293485,0.999936314,0.010222975,-0.019015883,-0.006490162,-0.005340775,0.008475408,0.002550994
